cal,C14,error
4873,4361,15
4872,4359,16
4871,4356,16
4870,4354,16
4869,4351,16
4868,4348,16
4867,4345,16
4866,4342,15
4865,4338,15
4864,4335,15
4863,4332,15
4862,4329,14
4861,4325,14
4860,4322,14
4859,4318,15
4858,4315,15
4857,4312,15
4856,4308,15
4855,4305,16
4854,4302,16
4853,4299,16
4852,4296,16
4851,4293,16
4850,4290,16
4849,4287,15
4848,4284,15
4847,4281,15
4846,4278,15
4845,4275,15
4844,4272,15
4843,4269,15
4842,4266,15
4841,4262,15
4840,4259,15
4839,4256,15
4838,4252,15
4837,4249,15
4836,4245,15
4835,4241,15
4834,4237,15
4833,4233,15
4832,4229,15
4831,4225,15
4830,4220,14
4829,4216,14
4828,4212,14
4827,4208,14
4826,4204,14
4825,4200,14
4824,4196,15
4823,4192,15
4822,4188,15
4821,4185,15
4820,4182,15
4819,4179,15
4818,4177,15
4817,4174,15
4816,4172,15
4815,4170,15
4814,4168,14
4813,4166,14
4812,4165,14
4811,4163,14
4810,4162,15
4809,4160,15
4808,4159,15
4807,4157,15
4806,4156,15
4805,4154,16
4804,4153,16
4803,4151,16
4802,4149,16
4801,4148,15
4800,4146,15
4799,4144,15
4798,4142,15
4797,4140,14
4796,4138,14
4795,4136,14
4794,4135,14
4793,4133,14
4792,4131,14
4791,4129,14
4790,4127,14
4789,4126,14
4788,4124,14
4787,4122,14
4786,4121,15
4785,4119,15
4784,4118,15
4783,4117,15
4782,4115,14
4781,4114,14
4780,4113,14
4779,4113,14
4778,4112,14
4777,4111,14
4776,4111,14
4775,4111,14
4774,4111,14
4773,4111,14
4772,4112,14
4771,4113,14
4770,4114,15
4769,4115,15
4768,4116,15
4767,4118,15
4766,4120,15
4765,4123,15
4764,4126,15
4763,4128,15
4762,4132,15
4761,4135,15
4760,4139,15
4759,4142,14
4758,4146,14
4757,4150,14
4756,4154,14
4755,4158,14
4754,4161,14
4753,4165,14
4752,4169,14
4751,4173,14
4750,4176,14
4749,4180,14
4748,4183,15
4747,4186,15
4746,4188,15
4745,4190,15
4744,4192,15
4743,4194,15
4742,4195,15
4741,4196,15
4740,4196,15
4739,4196,15
4738,4196,14
4737,4195,14
4736,4194,14
4735,4192,14
4734,4191,14
4733,4189,14
4732,4187,14
4731,4185,15
4730,4183,15
4729,4181,15
4728,4180,16
4727,4178,16
4726,4176,16
4725,4175,16
4724,4174,16
4723,4173,16
4722,4172,16
4721,4171,16
4720,4171,16
4719,4170,16
4718,4170,15
4717,4170,15
4716,4169,15
4715,4169,15
4714,4169,15
4713,4168,15
4712,4168,15
4711,4168,15
4710,4167,15
4709,4167,15
4708,4166,15
4707,4166,15
4706,4165,15
4705,4164,15
4704,4162,15
4703,4161,15
4702,4159,15
4701,4158,15
4700,4155,15
4699,4153,15
4698,4151,15
4697,4149,15
4696,4146,15
4695,4144,15
4694,4141,15
4693,4139,15
4692,4137,15
4691,4135,16
4690,4134,16
4689,4132,16
4688,4131,16
4687,4130,16
4686,4130,16
4685,4130,16
4684,4131,15
4683,4131,15
4682,4132,15
4681,4134,14
4680,4135,14
4679,4137,15
4678,4139,15
4677,4141,15
4676,4144,16
4675,4146,16
4674,4149,16
4673,4151,17
4672,4154,17
4671,4156,17
4670,4159,17
4669,4161,16
4668,4164,16
4667,4166,16
4666,4168,15
4665,4170,15
4664,4171,15
4663,4173,15
4662,4174,15
4661,4174,15
4660,4175,15
4659,4174,15
4658,4174,15
4657,4173,16
4656,4171,16
4655,4169,15
4654,4167,15
4653,4164,15
4652,4161,15
4651,4158,15
4650,4155,15
4649,4152,15
4648,4149,16
4647,4146,16
4646,4143,16
4645,4141,17
4644,4139,17
4643,4137,17
4642,4136,16
4641,4136,16
4640,4135,16
4639,4136,16
4638,4136,15
4637,4137,15
4636,4137,15
4635,4138,15
4634,4139,16
4633,4140,16
4632,4140,16
4631,4141,16
4630,4141,16
4629,4141,16
4628,4140,16
4627,4140,16
4626,4139,15
4625,4138,15
4624,4136,16
4623,4135,16
4622,4133,16
4621,4131,16
4620,4129,16
4619,4127,16
4618,4125,16
4617,4122,16
4616,4120,16
4615,4118,15
4614,4116,15
4613,4114,15
4612,4112,16
4611,4110,16
4610,4109,16
4609,4108,17
4608,4107,17
4607,4107,17
4606,4107,17
4605,4107,17
4604,4108,17
4603,4109,17
4602,4110,16
4601,4111,17
4600,4113,17
4599,4114,17
4598,4115,17
4597,4117,18
4596,4118,18
4595,4119,18
4594,4120,18
4593,4121,18
4592,4122,17
4591,4122,17
4590,4122,17
4589,4122,17
4588,4122,16
4587,4121,16
4586,4120,16
4585,4119,16
4584,4118,16
4583,4116,16
4582,4115,15
4581,4113,15
4580,4111,15
4579,4109,15
4578,4106,16
4577,4104,16
4576,4101,16
4575,4098,17
4574,4095,17
4573,4092,16
4572,4089,16
4571,4086,16
4570,4083,16
4569,4081,16
4568,4079,17
4567,4077,17
4566,4076,17
4565,4075,17
4564,4075,17
4563,4075,16
4562,4075,16
4561,4076,16
4560,4077,16
4559,4078,17
4558,4079,17
4557,4080,17
4556,4081,17
4555,4082,17
4554,4083,17
4553,4083,17
4552,4083,17
4551,4084,17
4550,4084,17
4549,4084,17
4548,4084,17
4547,4085,17
4546,4085,17
4545,4086,16
4544,4087,16
4543,4087,16
4542,4088,16
4541,4089,15
4540,4090,15
4539,4090,15
4538,4090,15
4537,4090,16
4536,4090,16
4535,4089,16
4534,4088,16
4533,4087,16
4532,4085,16
4531,4082,16
4530,4079,16
4529,4076,16
4528,4073,17
4527,4069,17
4526,4064,17
4525,4060,16
4524,4055,16
4523,4050,16
4522,4045,16
4521,4040,16
4520,4035,16
4519,4030,16
4518,4026,16
4517,4021,16
4516,4017,16
4515,4014,17
4514,4010,16
4513,4007,16
4512,4005,16
4511,4003,16
4510,4001,16
4509,4000,17
4508,3998,17
4507,3997,17
4506,3996,17
4505,3996,16
4504,3995,16
4503,3995,16
4502,3994,16
4501,3994,16
4500,3994,16
4499,3994,16
4498,3994,16
4497,3994,16
4496,3994,16
4495,3995,16
4494,3995,16
4493,3995,16
4492,3995,16
4491,3996,16
4490,3997,16
4489,3998,16
4488,3999,16
4487,4000,16
4486,4002,16
4485,4004,16
4484,4006,16
4483,4008,16
4482,4010,16
4481,4012,16
4480,4014,16
4479,4016,16
4478,4018,16
4477,4019,16
4476,4021,16
4475,4022,16
4474,4023,16
4473,4024,16
4472,4024,16
4471,4025,16
4470,4026,17
4469,4027,17
4468,4028,17
4467,4030,17
4466,4032,16
4465,4034,16
4464,4037,16
4463,4039,16
4462,4041,16
4461,4043,16
4460,4044,16
4459,4046,16
4458,4046,16
4457,4047,16
4456,4046,16
4455,4046,16
4454,4045,16
4453,4043,16
4452,4041,17
4451,4038,17
4450,4035,17
4449,4032,17
4448,4029,17
4447,4025,17
4446,4021,17
4445,4017,16
4444,4013,16
4443,4009,16
4442,4005,16
4441,4002,16
4440,3999,17
4439,3997,16
4438,3996,16
4437,3994,16
4436,3994,16
4435,3993,16
4434,3993,16
4433,3993,16
4432,3994,16
4431,3995,16
4430,3996,16
4429,3997,15
4428,3998,15
4427,3998,15
4426,3998,15
4425,3997,15
4424,3995,15
4423,3991,15
4422,3987,15
4421,3982,15
4420,3976,15
4419,3970,14
4418,3963,14
4417,3957,15
4416,3951,15
4415,3945,15
4414,3939,15
4413,3934,15
4412,3930,16
4411,3926,16
4410,3922,16
4409,3918,16
4408,3914,16
4407,3910,16
4406,3907,17
4405,3904,17
4404,3901,17
4403,3899,17
4402,3897,17
4401,3896,17
4400,3894,16
4399,3894,16
4398,3893,16
4397,3893,16
4396,3892,16
4395,3892,16
4394,3892,16
4393,3892,17
4392,3892,17
4391,3892,17
4390,3892,16
4389,3892,16
4388,3892,16
4387,3891,15
4386,3891,15
4385,3891,15
4384,3890,15
4383,3890,16
4382,3890,16
4381,3889,16
4380,3889,15
4379,3889,15
4378,3889,15
4377,3889,15
4376,3889,15
4375,3889,16
4374,3890,16
4373,3891,16
4372,3892,17
4371,3893,17
4370,3894,17
4369,3896,17
4368,3898,16
4367,3900,16
4366,3902,16
4365,3903,16
4364,3905,16
4363,3906,16
4362,3906,16
4361,3905,16
4360,3905,16
4359,3903,16
4358,3902,16
4357,3900,16
4356,3898,17
4355,3895,17
4354,3893,17
4353,3891,18
4352,3889,18
4351,3887,18
4350,3885,18
4349,3883,18
4348,3881,18
4347,3879,18
4346,3878,18
4345,3877,18
4344,3876,18
4343,3875,17
4342,3874,17
4341,3874,17
4340,3874,16
4339,3874,17
4338,3875,17
4337,3876,17
4336,3877,17
4335,3878,17
4334,3880,17
4333,3882,17
4332,3883,17
4331,3885,17
4330,3887,17
4329,3889,17
4328,3891,17
4327,3893,17
4326,3894,16
4325,3896,16
4324,3897,16
4323,3898,16
4322,3899,16
4321,3900,16
4320,3901,16
4319,3901,16
4318,3901,16
4317,3901,16
4316,3901,16
4315,3901,16
4314,3900,17
4313,3900,17
4312,3900,17
4311,3900,18
4310,3900,18
4309,3900,18
4308,3900,17
4307,3900,17
4306,3900,17
4305,3900,17
4304,3899,17
4303,3899,17
4302,3898,17
4301,3897,17
4300,3895,17
4299,3893,16
4298,3891,16
4297,3889,16
4296,3886,16
4295,3883,16
4294,3880,16
4293,3877,17
4292,3874,17
4291,3871,17
4290,3868,17
4289,3866,17
4288,3863,16
4287,3861,16
4286,3859,16
4285,3858,15
4284,3857,16
4283,3856,16
4282,3855,16
4281,3855,16
4280,3855,16
4279,3855,16
4278,3856,16
4277,3857,15
4276,3858,15
4275,3859,15
4274,3861,16
4273,3862,16
4272,3864,17
4271,3865,17
4270,3866,17
4269,3867,17
4268,3868,17
4267,3868,17
4266,3869,17
4265,3869,17
4264,3870,17
4263,3870,17
4262,3870,17
4261,3870,18
4260,3870,18
4259,3870,17
4258,3869,17
4257,3869,17
4256,3868,17
4255,3868,17
4254,3867,17
4253,3866,17
4252,3865,17
4251,3864,17
4250,3863,17
4249,3861,16
4248,3860,16
4247,3858,16
4246,3856,15
4245,3854,16
4244,3852,16
4243,3850,16
4242,3847,15
4241,3844,15
4240,3841,15
4239,3838,16
4238,3835,16
4237,3832,16
4236,3829,16
4235,3826,16
4234,3824,16
4233,3822,16
4232,3820,16
4231,3818,16
4230,3815,16
4229,3813,16
4228,3811,16
4227,3809,16
4226,3807,16
4225,3805,16
4224,3803,17
4223,3801,17
4222,3800,17
4221,3798,17
4220,3796,17
4219,3795,17
4218,3794,17
4217,3793,16
4216,3792,16
4215,3791,17
4214,3791,17
4213,3791,17
4212,3791,17
4211,3792,17
4210,3793,17
4209,3795,16
4208,3796,16
4207,3798,16
4206,3801,16
4205,3803,16
4204,3806,16
4203,3808,16
4202,3811,16
4201,3814,16
4200,3816,16
4199,3819,16
4198,3822,16
4197,3824,16
4196,3826,16
4195,3828,16
4194,3829,16
4193,3830,16
4192,3831,16
4191,3831,16
4190,3831,16
4189,3831,15
4188,3830,15
4187,3828,16
4186,3827,15
4185,3825,15
4184,3823,15
4183,3821,15
4182,3820,15
4181,3818,15
4180,3816,16
4179,3815,16
4178,3814,16
4177,3813,16
4176,3813,16
4175,3813,16
4174,3813,16
4173,3813,16
4172,3814,16
4171,3815,16
4170,3816,16
4169,3817,16
4168,3819,16
4167,3821,15
4166,3822,15
4165,3824,15
4164,3825,16
4163,3825,16
4162,3825,16
4161,3824,16
4160,3822,16
4159,3820,16
4158,3817,16
4157,3813,16
4156,3809,16
4155,3805,16
4154,3800,16
4153,3795,16
4152,3790,17
4151,3784,17
4150,3779,17
4149,3774,16
4148,3769,16
4147,3764,16
4146,3760,15
4145,3755,15
4144,3752,15
4143,3748,16
4142,3745,16
4141,3742,15
4140,3740,15
4139,3738,15
4138,3737,15
4137,3736,15
4136,3736,15
4135,3736,15
4134,3736,15
4133,3737,15
4132,3738,15
4131,3739,15
4130,3741,15
4129,3743,15
4128,3744,15
4127,3746,15
4126,3748,15
4125,3750,15
4124,3751,15
4123,3753,16
4122,3755,16
4121,3757,16
4120,3758,17
4119,3760,17
4118,3762,17
4117,3763,17
4116,3765,16
4115,3766,16
4114,3768,16
4113,3769,16
4112,3770,16
4111,3772,16
4110,3773,16
4109,3774,16
4108,3774,15
4107,3775,15
4106,3776,15
4105,3776,15
4104,3776,15
4103,3775,15
4102,3774,15
4101,3772,15
4100,3771,15
4099,3769,15
4098,3766,15
4097,3763,15
4096,3760,15
4095,3756,16
4094,3753,16
4093,3749,16
4092,3745,16
4091,3741,17
4090,3737,17
4089,3733,17
4088,3729,18
4087,3725,18
4086,3721,18
4085,3717,17
4084,3713,17
4083,3710,17
4082,3707,17
4081,3703,17
4080,3701,17
4079,3698,17
4078,3696,17
4077,3694,17
4076,3692,17
4075,3690,17
4074,3689,17
4073,3688,17
4072,3688,16
4071,3687,16
4070,3686,17
4069,3685,17
4068,3684,17
4067,3683,17
4066,3682,17
4065,3681,16
4064,3680,16
4063,3679,16
4062,3678,16
4061,3676,16
4060,3676,16
4059,3675,16
4058,3674,17
4057,3674,17
4056,3674,17
4055,3674,16
4054,3674,16
4053,3675,16
4052,3675,17
4051,3676,17
4050,3677,17
4049,3679,18
4048,3680,18
4047,3682,18
4046,3683,17
4045,3685,17
4044,3686,16
4043,3688,16
4042,3690,16
4041,3692,16
4040,3694,16
4039,3696,16
4038,3698,16
4037,3700,16
4036,3702,16
4035,3703,16
4034,3705,16
4033,3707,16
4032,3709,16
4031,3710,16
4030,3712,17
4029,3713,17
4028,3714,16
4027,3715,16
4026,3716,16
4025,3717,16
4024,3717,15
4023,3718,16
4022,3718,16
4021,3718,16
4020,3718,17
4019,3718,17
4018,3717,17
4017,3717,17
4016,3717,17
4015,3716,17
4014,3715,17
4013,3714,17
4012,3714,16
4011,3713,17
4010,3712,17
4009,3711,17
4008,3710,16
4007,3710,16
4006,3709,16
4005,3708,16
4004,3708,16
4003,3707,16
4002,3706,16
4001,3706,16
4000,3705,17
3999,3704,17
3998,3703,17
3997,3702,17
3996,3702,17
3995,3700,17
3994,3699,17
3993,3698,17
3992,3696,17
3991,3695,17
3990,3692,17
3989,3690,17
3988,3687,17
3987,3684,16
3986,3681,16
3985,3678,16
3984,3675,15
3983,3671,15
3982,3668,16
3981,3665,16
3980,3662,16
3979,3658,16
3978,3655,17
3977,3653,16
3976,3650,16
3975,3648,16
3974,3646,16
3973,3644,16
3972,3642,17
3971,3640,17
3970,3638,17
3969,3636,17
3968,3634,17
3967,3632,17
3966,3630,16
3965,3628,16
3964,3626,16
3963,3624,16
3962,3622,16
3961,3620,16
3960,3619,17
3959,3618,17
3958,3617,17
3957,3616,17
3956,3615,17
3955,3615,16
3954,3615,16
3953,3615,16
3952,3616,17
3951,3617,17
3950,3619,17
3949,3621,17
3948,3624,17
3947,3627,17
3946,3631,17
3945,3634,16
3944,3637,16
3943,3641,16
3942,3644,16
3941,3646,17
3940,3649,17
3939,3651,17
3938,3652,18
3937,3652,18
3936,3652,18
3935,3651,17
3934,3649,17
3933,3647,16
3932,3644,16
3931,3641,16
3930,3638,16
3929,3635,16
3928,3631,16
3927,3628,16
3926,3625,16
3925,3623,16
3924,3621,16
3923,3619,16
3922,3618,16
3921,3617,16
3920,3616,16
3919,3616,16
3918,3616,16
3917,3616,16
3916,3616,16
3915,3617,17
3914,3617,17
3913,3617,17
3912,3617,17
3911,3617,17
3910,3617,16
3909,3617,16
3908,3616,16
3907,3615,16
3906,3614,16
3905,3613,16
3904,3612,16
3903,3611,16
3902,3609,16
3901,3607,16
3900,3606,16
3899,3604,16
3898,3602,16
3897,3600,16
3896,3599,16
3895,3597,16
3894,3595,16
3893,3593,17
3892,3592,17
3891,3590,16
3890,3589,16
3889,3588,16
3888,3587,15
3887,3586,15
3886,3585,14
3885,3584,14
3884,3583,15
3883,3582,15
3882,3581,15
3881,3580,16
3880,3579,16
3879,3578,16
3878,3577,16
3877,3576,16
3876,3574,16
3875,3573,16
3874,3572,17
3873,3571,17
3872,3570,17
3871,3570,18
3870,3569,18
3869,3568,19
3868,3568,19
3867,3567,20
3866,3567,20
3865,3567,20
3864,3567,19
3863,3568,19
3862,3568,19
3861,3568,18
3860,3568,18
3859,3569,18
3858,3569,18
3857,3570,18
3856,3570,18
3855,3570,18
3854,3570,19
3853,3570,19
3852,3570,19
3851,3569,20
3850,3569,20
3849,3568,20
3848,3567,19
3847,3566,19
3846,3564,19
3845,3562,18
3844,3561,18
3843,3559,17
3842,3557,17
3841,3554,17
3840,3552,17
3839,3549,17
3838,3547,17
3837,3544,17
3836,3541,18
3835,3538,18
3834,3534,18
3833,3531,19
3832,3528,19
3831,3524,19
3830,3521,19
3829,3517,18
3828,3513,18
3827,3509,18
3826,3506,17
3825,3502,17
3824,3498,16
3823,3495,16
3822,3491,16
3821,3488,17
3820,3484,17
3819,3481,17
3818,3478,18
3817,3475,18
3816,3473,19
3815,3471,19
3814,3469,19
3813,3467,19
3812,3465,19
3811,3464,19
3810,3463,19
3809,3463,18
3808,3463,18
3807,3463,18
3806,3463,18
3805,3464,18
3804,3465,18
3803,3466,18
3802,3468,18
3801,3470,19
3800,3472,19
3799,3475,19
3798,3478,19
3797,3481,19
3796,3485,19
3795,3489,19
3794,3492,18
3793,3496,18
3792,3500,18
3791,3504,18
3790,3508,18
3789,3511,18
3788,3514,19
3787,3517,19
3786,3520,19
3785,3522,20
3784,3523,20
3783,3524,20
3782,3524,20
3781,3524,20
3780,3523,19
3779,3521,19
3778,3519,19
3777,3517,18
3776,3515,18
3775,3513,18
3774,3510,18
3773,3507,18
3772,3504,18
3771,3502,18
3770,3499,18
3769,3496,19
3768,3494,19
3767,3492,19
3766,3490,18
3765,3489,18
3764,3488,18
3763,3487,17
3762,3486,17
3761,3485,17
3760,3485,16
3759,3485,16
3758,3485,16
3757,3485,16
3756,3486,17
3755,3486,17
3754,3487,17
3753,3488,18
3752,3489,18
3751,3491,18
3750,3492,18
3749,3494,18
3748,3495,18
3747,3497,18
3746,3499,18
3745,3501,17
3744,3503,17
3743,3504,16
3742,3506,16
3741,3508,16
3740,3509,16
3739,3510,16
3738,3511,16
3737,3512,17
3736,3512,17
3735,3513,17
3734,3512,17
3733,3512,18
3732,3511,18
3731,3509,18
3730,3508,18
3729,3505,17
3728,3503,17
3727,3500,17
3726,3496,16
3725,3493,16
3724,3490,16
3723,3486,16
3722,3483,16
3721,3479,16
3720,3476,17
3719,3473,17
3718,3470,17
3717,3468,18
3716,3465,18
3715,3464,18
3714,3463,18
3713,3462,18
3712,3462,18
3711,3462,17
3710,3462,17
3709,3463,17
3708,3464,17
3707,3465,17
3706,3465,17
3705,3466,17
3704,3467,17
3703,3467,18
3702,3467,18
3701,3466,18
3700,3465,19
3699,3464,19
3698,3461,19
3697,3459,18
3696,3456,18
3695,3452,18
3694,3448,18
3693,3444,17
3692,3440,17
3691,3435,17
3690,3431,18
3689,3427,18
3688,3422,18
3687,3418,18
3686,3414,19
3685,3410,19
3684,3407,19
3683,3404,19
3682,3401,18
3681,3399,18
3680,3397,18
3679,3395,17
3678,3394,17
3677,3393,17
3676,3393,17
3675,3393,18
3674,3393,18
3673,3394,19
3672,3395,19
3671,3396,19
3670,3398,20
3669,3400,20
3668,3402,20
3667,3405,20
3666,3408,19
3665,3411,19
3664,3415,18
3663,3418,18
3662,3421,17
3661,3425,17
3660,3428,17
3659,3430,17
3658,3433,17
3657,3435,17
3656,3437,16
3655,3438,16
3654,3439,16
3653,3439,16
3652,3439,15
3651,3438,15
3650,3436,14
3649,3433,14
3648,3431,14
3647,3428,13
3646,3425,13
3645,3422,13
3644,3420,13
3643,3417,13
3642,3413,13
3641,3409,13
3640,3405,13
3639,3401,13
3638,3397,13
3637,3393,13
3636,3390,13
3635,3388,13
3634,3386,13
3633,3385,12
3632,3384,12
3631,3383,12
3630,3383,12
3629,3383,12
3628,3382,12
3627,3382,12
3626,3382,12
3625,3382,12
3624,3382,12
3623,3381,12
3622,3381,12
3621,3381,12
3620,3381,12
3619,3380,12
3618,3379,12
3617,3378,11
3616,3377,11
3615,3375,11
3614,3374,11
3613,3373,11
3612,3373,11
3611,3373,11
3610,3373,11
3609,3374,11
3608,3375,11
3607,3376,11
3606,3376,11
3605,3377,11
3604,3378,11
3603,3380,11
3602,3382,11
3601,3385,11
3600,3388,11
3599,3390,11
3598,3392,11
3597,3393,11
3596,3393,11
3595,3391,11
3594,3389,11
3593,3386,11
3592,3384,11
3591,3382,11
3590,3381,11
3589,3381,11
3588,3381,11
3587,3380,11
3586,3380,11
3585,3379,11
3584,3378,11
3583,3377,11
3582,3377,11
3581,3376,11
3580,3375,11
3579,3374,11
3578,3373,11
3577,3372,11
3576,3370,11
3575,3367,11
3574,3364,11
3573,3361,11
3572,3357,11
3571,3354,11
3570,3350,11
3569,3347,11
3568,3344,11
3567,3342,11
3566,3339,11
3565,3336,11
3564,3333,11
3563,3329,11
3562,3326,11
3561,3323,11
3560,3320,11
3559,3317,11
3558,3314,11
3557,3312,11
3556,3311,11
3555,3311,11
3554,3311,11
3553,3312,11
3552,3313,11
3551,3312,11
3550,3311,11
3549,3310,11
3548,3308,11
3547,3305,11
3546,3303,11
3545,3301,11
3544,3301,11
3543,3302,11
3542,3305,11
3541,3307,11
3540,3308,11
3539,3309,11
3538,3309,11
3537,3308,11
3536,3308,11
3535,3309,11
3534,3310,11
3533,3311,11
3532,3312,11
3531,3312,11
3530,3312,11
3529,3313,11
3528,3313,11
3527,3313,11
3526,3314,11
3525,3316,11
3524,3318,11
3523,3321,11
3522,3323,11
3521,3324,11
3520,3325,11
3519,3325,11
3518,3325,11
3517,3324,11
3516,3323,11
3515,3322,11
3514,3322,11
3513,3321,11
3512,3320,11
3511,3318,11
3510,3316,11
3509,3314,11
3508,3311,11
3507,3310,11
3506,3310,11
3505,3311,11
3504,3314,11
3503,3317,11
3502,3319,11
3501,3321,11
3500,3322,11
3499,3323,11
3498,3322,11
3497,3321,11
3496,3318,11
3495,3316,11
3494,3314,11
3493,3311,11
3492,3309,11
3491,3307,11
3490,3305,11
3489,3303,11
3488,3301,11
3487,3299,11
3486,3297,11
3485,3296,11
3484,3294,11
3483,3291,11
3482,3287,11
3481,3282,11
3480,3276,11
3479,3271,11
3478,3267,11
3477,3266,11
3476,3267,11
3475,3270,11
3474,3275,11
3473,3279,11
3472,3282,11
3471,3282,11
3470,3281,11
3469,3279,11
3468,3275,11
3467,3271,11
3466,3268,11
3465,3266,11
3464,3264,11
3463,3263,11
3462,3264,11
3461,3264,11
3460,3264,11
3459,3263,11
3458,3261,11
3457,3257,12
3456,3253,12
3455,3249,12
3454,3244,12
3453,3240,12
3452,3236,12
3451,3231,12
3450,3227,12
3449,3223,12
3448,3219,13
3447,3215,13
3446,3211,13
3445,3207,14
3444,3203,14
3443,3200,14
3442,3197,14
3441,3194,15
3440,3191,15
3439,3189,15
3438,3188,15
3437,3187,15
3436,3187,15
3435,3187,15
3434,3188,15
3433,3189,16
3432,3191,16
3431,3193,16
3430,3195,16
3429,3197,16
3428,3200,16
3427,3202,16
3426,3204,16
3425,3207,17
3424,3209,17
3423,3210,18
3422,3212,18
3421,3213,18
3420,3214,18
3419,3214,17
3418,3215,17
3417,3215,17
3416,3215,17
3415,3215,16
3414,3214,17
3413,3214,17
3412,3213,17
3411,3212,17
3410,3211,17
3409,3210,17
3408,3208,17
3407,3207,17
3406,3205,17
3405,3204,16
3404,3202,16
3403,3201,16
3402,3199,15
3401,3197,15
3400,3195,15
3399,3193,15
3398,3192,15
3397,3190,15
3396,3188,15
3395,3186,16
3394,3184,16
3393,3182,17
3392,3181,17
3391,3179,17
3390,3177,17
3389,3176,17
3388,3174,17
3387,3172,17
3386,3171,17
3385,3169,16
3384,3168,16
3383,3167,16
3382,3165,16
3381,3164,16
3380,3162,16
3379,3160,17
3378,3159,17
3377,3157,18
3376,3155,18
3375,3154,19
3374,3152,19
3373,3150,19
3372,3148,19
3371,3146,19
3370,3143,19
3369,3141,19
3368,3139,18
3367,3136,18
3366,3133,17
3365,3131,17
3364,3128,17
3363,3126,17
3362,3123,17
3361,3121,17
3360,3118,17
3359,3116,18
3358,3114,18
3357,3112,18
3356,3110,18
3355,3108,18
3354,3107,18
3353,3105,18
3352,3104,17
3351,3103,17
3350,3102,17
3349,3101,16
3348,3100,16
3347,3099,16
3346,3098,16
3345,3097,17
3344,3096,17
3343,3094,17
3342,3093,18
3341,3092,18
3340,3090,18
3339,3089,18
3338,3087,17
3337,3085,17
3336,3083,17
3335,3081,17
3334,3079,17
3333,3077,17
3332,3075,17
3331,3073,18
3330,3070,18
3329,3068,19
3328,3066,19
3327,3064,19
3326,3062,19
3325,3060,19
3324,3058,19
3323,3056,19
3322,3054,18
3321,3052,18
3320,3051,18
3319,3049,17
3318,3048,17
3317,3047,18
3316,3046,18
3315,3045,18
3314,3044,19
3313,3044,19
3312,3044,19
3311,3044,19
3310,3044,19
3309,3045,19
3308,3046,18
3307,3047,18
3306,3048,17
3305,3049,17
